Date,Rm
Return Jan05,0.028554739
Return Feb05,-0.00797758
Return Mar05,-0.023657655
Return Apr05,0.042922461
Return May05,0.031776771
Return Jun05,0.032483419
Return Jul05,-0.000737008
Return Aug05,0.043220587
Return Sep05,-0.02419756
Return Oct05,0.031133795
Return Nov05,0.034654815
Return Dec05,0.03489669
Return Jan06,0.021081949
Return Feb06,0.019809794
Return Mar06,0.006081247
Return Apr06,-0.053786657
Return May06,0.005629296
Return Jun06,0.016638717
Return Jul06,0.026304169
Return Aug06,0.01981839
Return Sep06,0.034288095
Return Oct06,-0.004424778
Return Nov06,0.037603479
Return Dec06,0.020218014
Return Jan07,-0.020847931
Return Feb07,0.024864323
Return Mar07,0.033399918
Return Apr07,0.025037349
Return May07,-0.007666554
Return Jun07,-0.03525911
Return Jul07,-0.010925903
Return Aug07,0.005094155
Return Sep07,0.027589238
Return Oct07,-0.04763749
Return Nov07,-0.015564858
Return Dec07,-0.123862278
Return Jan08,-0.010013941
Return Feb08,-0.041580043
Return Mar08,0.054476565
Return Apr08,-0.003006778
Return May08,-0.10714882
Return Jun08,-0.019646465
Return Jul08,0.015456415
Return Aug08,-0.11821257
Return Sep08,-0.142380012
Return Oct08,-0.073903654
Return Nov08,-0.04639307
Return Dec08,-0.029219084
Return Jan09,-0.100647823
Return Feb09,0.020265213
Return Mar09,0.126372424
Return Apr09,0.039080534
Return May09,-0.011496624
Return Jun09,0.088649745
Return Jul09,0.046519977
Return Aug09,0.028657679
Return Sep09,-0.023113286
Return Oct09,0.009409878
Return Nov09,0.056847128
Return Dec09,-0.024795307
Return Jan10,-0.004708199
Return Feb10,0.069800805
Return Mar10,-0.013983581
Return Apr10,-0.059199674
Return May10,-0.00675828
Return Jun10,0.048257698
Return Jul10,-0.015947948
Return Aug10,0.032916903
Return Sep10,0.023741756
Return Oct10,-0.015650499
Return Nov10,0.052016827
Return Dec10,0.0152559
Return Jan11,0.022665706
Return Feb11,-0.037595363
Return Mar11,0.028160827
Return Apr11,-0.016808352
Return May11,-0.022432146
Return Jun11,-0.028286011
Return Jul11,-0.110799964
Return Aug11,-0.048541702
Return Sep11,0.073703676
Return Oct11,-0.014062578
Return Nov11,0.018406657
Return Dec11,0.039568289
Return Jan12,0.038213362
Return Feb12,-0.003790468
Return Mar12,-0.023205067
Return Apr12,-0.070651709
Return May12,0.046616719
Return Jun12,0.039845314
Return Jul12,0.018385332
Return Aug12,0.008415826
Return Sep12,0.006755945
Return Oct12,0.020071034
Return Nov12,0.014042625
Return Dec12,0.026602409
Return Jan13,0.009425536
Return Feb13,0.013157173
Return Mar13,0.009957752
Return Apr13,0.013922594
Return May13,-0.054152216
Return Jun13,0.049822136
Return Jul13,-0.007572427
Return Aug13,0.043246016
Return Sep13,0.037644899
Return Oct13,0.008617442
Return Nov13,0.009488627
Return Dec13,-0.017640892
Return Jan14,0.046939917
Return Feb14,-0.011036333
Return Mar14,0.010651743
Return Apr14,0.018618616
Return May14,-0.006937807
Return Jun14,-0.017319885
Return Jul14,0.017729369
Return Aug14,0.003152881
Return Sep14,-0.018474371
Return Oct14,0.030555735
Return Nov14,-0.013656516
Return Dec14,0.06910958
Return Jan15,0.066299342
Return Feb15,0.012894245
Return Mar15,-0.003807842
Return Apr15,0.010255691
Return May15,-0.047526794
Return Jun15,0.038735419
Return Jul15,-0.088523927
Return Aug15,-0.042282869
Return Sep15,0.076637267
Return Oct15,0.026180999
Return Nov15,-0.052245509
Return Dec15,-0.0665142
Return Jan16,-0.024698385
Return Feb16,0.010782566
Return Mar16,0.011605096
Return Apr16,0.01733166
Return May16,-0.051891837
Return Jun16,0.035760125
Return Jul16,0.004785349
Return Aug16,-0.001777219
Return Sep16,-0.011585611
Return Oct16,0.008869857
Return Nov16,0.055259285
Return Dec16,-0.003603458
Return Jan17,0.027714122
Return Feb17,0.029015384
Return Mar17,0.015490413
Return Apr17,0.007463858
Return May17,-0.027609103
Return Jun17,-0.004014662
Return Jul17,-0.010562404
Return Aug17,0.037482732
Return Sep17,0.018024938
Return Oct17,-0.021819231
Return Nov17,0.0064186
Return Dec17,0.016007678