Date,Rf
Return Jan18,-0.000363816
Return Feb18,-0.000368234
Return Mar18,-0.000372153
Return Apr18,-0.000372569
Return May18,-0.000370402
Return Jun18,-0.000368318
Return Jul18,-0.000371319
Return Aug18,-0.000370068
Return Sep18,-0.0003659
Return Oct18,-0.000368234
Return Nov18,-0.000369235
Return Dec18,-0.000367984
Return Jan19,-0.000372569
Return Feb19,-0.000370902
Return Mar19,-0.000373403
Return Apr19,-0.000374237
Return May19,-0.000377571
Return Jun19,-0.000404248
Return Jul19,-0.000430759
Return Aug19,-0.000493038
Return Sep19,-0.000455104
Return Oct19,-0.000452352
Return Nov19,-0.000445516
Return Dec19,-0.000441347